0,7145,60000,0.119083
1,10792,60000,0.179867
2,12760,60000,0.212667
3,14198,60000,0.236633
4,14548,60000,0.242467
5,14712,60000,0.2452
6,14464,60000,0.241067
7,14609,60000,0.243483
8,15558,60000,0.2593
9,15370,60000,0.256167
10,15511,60000,0.258517
11,15741,60000,0.26235
12,15958,60000,0.265967
13,16254,60000,0.2709
14,16126,60000,0.268767
15,15856,60000,0.264267
16,16329,60000,0.27215
17,16562,60000,0.276033
18,17558,60000,0.292633
19,16575,60000,0.27625
20,16951,60000,0.282517
21,17164,60000,0.286067
22,17012,60000,0.283533
23,17796,60000,0.2966
24,17973,60000,0.29955
25,17933,60000,0.298883
26,18889,60000,0.314817
27,18942,60000,0.3157
28,18530,60000,0.308833
29,19001,60000,0.316683
30,19802,60000,0.330033
31,20478,60000,0.3413
32,20189,60000,0.336483
33,21247,60000,0.354117
34,21586,60000,0.359767
35,21782,60000,0.363033
36,25232,60000,0.420533
37,24064,60000,0.401067
38,26766,60000,0.4461
39,31789,60000,0.529817
40,51191,60000,0.853183
41,58266,60000,0.9711
42,59882,60000,0.998033
43
