r,5
s,4
n,960
m1,384
m2,480
0,1,2,3,6,
2,4,5,7,11,
0,8,10,12,17,
5,8,9,13,18,
1,14,16,19,27,
10,14,15,20,28,
3,21,25,29,40,
4,22,26,30,41,
16,21,23,31,42,
6,22,24,32,43,
7,33,38,44,59,
9,34,39,45,60,
24,25,35,46,61,
26,33,36,47,62,
11,34,37,48,63,
12,49,56,64,82,
13,50,57,65,83,
15,51,58,66,84,
37,38,52,67,85,
18,49,53,68,86,
39,50,54,69,87,
17,51,55,70,88,
19,71,79,89,117,
20,72,80,90,118,
23,73,81,91,119,
55,56,74,92,120,
53,57,75,93,121,
28,71,76,94,122,
58,72,77,95,123,
27,73,78,96,124,
29,97,111,125,164,
30,98,112,126,165,
31,99,113,127,166,
32,100,114,128,167,
35,101,115,129,168,
36,102,116,130,169,
78,79,103,131,170,
76,80,104,132,171,
42,97,105,133,172,
43,98,106,134,173,
81,99,107,135,174,
61,100,108,136,175,
40,101,109,137,176,
41,102,110,138,177,
44,139,157,176,229,
45,122,140,158,230,
46,141,159,178,231,
47,142,160,179,232,
48,143,161,180,233,
52,144,162,181,234,
54,145,163,182,235,
109,111,146,183,236,
110,112,147,184,237,
105,113,148,185,238,
106,114,149,186,239,
62,129,139,150,187,
63,89,140,151,188,
115,141,152,189,240,
116,142,153,190,241,
85,143,154,191,242,
59,144,155,192,243,
60,145,156,193,244,
64,173,194,219,304,
65,195,220,243,305,
66,172,196,221,306,
67,197,222,245,307,
68,198,223,246,308,
69,199,224,247,309,
70,200,225,248,310,
74,201,226,249,311,
75,202,227,250,312,
77,203,228,251,313,
155,157,204,252,314,
156,158,205,253,315,
108,159,206,254,303,
150,160,207,255,316,
151,161,208,256,317,
86,126,194,209,257,
87,181,195,210,258,
88,125,196,211,259,
162,197,212,260,318,
121,198,213,261,319,
163,199,214,262,320,
120,200,215,250,263,
82,201,216,264,321,
83,202,217,248,265,
84,203,218,266,322,
90,267,293,321,402,
91,175,268,294,372,
92,269,295,323,403,
93,270,296,324,404,
94,271,297,325,405,
95,272,298,326,406,
96,273,299,327,407,
103,274,300,328,408,
104,275,301,329,409,
107,276,302,330,410,
216,219,277,331,411,
217,220,278,332,412,
218,221,279,333,413,
154,222,280,334,401,
209,223,281,335,414,
210,224,282,336,415,
211,225,283,337,416,
123,249,267,284,338,
124,128,268,285,339,
226,269,286,340,417,
227,270,287,341,418,
171,271,288,342,419,
153,228,272,343,420,
170,273,289,329,344,
117,274,290,345,421,
118,275,291,327,346,
119,276,292,347,422,
127,348,386,421,524,
130,242,349,387,491,
131,350,388,423,525,
132,351,389,424,526,
133,352,390,425,527,
134,353,391,426,528,
135,354,392,427,529,
136,355,393,428,530,
137,356,394,429,531,
138,357,395,430,532,
146,358,396,431,533,
147,359,397,432,534,
148,360,398,433,535,
149,361,399,434,536,
152,362,400,435,537,
188,290,363,436,538,
291,293,364,437,539,
292,294,365,438,540,
215,295,366,439,523,
213,296,302,354,367,
230,297,368,440,471,
284,298,369,441,541,
285,299,370,442,542,
174,328,348,371,443,
177,180,349,373,444,
300,350,374,445,543,
301,351,375,446,544,
238,352,376,447,545,
239,353,377,448,546,
214,303,355,449,547,
236,356,378,433,450,
237,357,379,434,451,
164,358,380,452,548,
165,359,381,453,549,
166,360,382,429,454,
167,361,383,430,455,
168,362,384,456,550,
169,343,385,457,551,
178,458,505,548,664,
179,459,506,549,665,
182,319,460,507,624,
183,461,508,552,666,
184,462,509,553,667,
185,463,510,554,668,
186,464,511,555,669,
187,384,465,556,670,
189,466,512,557,671,
190,313,513,558,672,
191,467,514,533,559,
192,407,468,515,560,
193,469,516,561,673,
204,470,517,562,674,
205,471,518,563,675,
206,472,519,546,676,
207,473,520,540,564,
208,474,521,527,565,
212,475,522,566,677,
259,380,476,567,673,
257,381,477,568,678,
382,386,478,569,679,
339,383,479,570,680,
385,387,480,571,681,
289,388,481,572,663,
288,389,400,466,482,
306,390,483,573,606,
304,391,484,574,604,
371,392,485,575,682,
372,393,486,576,683,
229,394,470,487,577,
373,395,488,578,684,
240,431,458,489,579,
241,432,459,490,580,
244,246,460,492,581,
396,461,493,582,685,
376,397,462,510,618,
398,463,494,583,686,
399,464,495,584,687,
316,465,496,585,688,
317,363,497,586,689,
286,401,467,587,690,
314,347,468,498,564,
315,469,483,499,565,
231,426,472,500,588,
232,370,473,501,560,
233,452,474,502,561,
234,344,475,503,691,
235,449,504,589,692,
245,577,590,643,792,
247,440,591,644,793,
251,419,592,645,758,
252,593,646,666,794,
253,526,594,647,795,
254,262,595,652,693,
255,557,596,648,694,
256,423,597,649,695,
258,409,503,598,696,
260,599,650,697,796,
261,410,651,674,698,
263,536,600,642,699,
264,531,601,653,700,
265,532,602,640,701,
266,603,654,680,702,
277,604,655,703,797,
278,406,605,656,704,
279,606,657,705,798,
280,607,658,689,765,
281,608,659,670,706,
282,609,660,681,707,
283,530,610,661,708,
287,611,662,709,799,
500,505,612,710,800,
501,506,613,711,801,
444,502,614,664,712,
504,507,615,682,802,
378,508,616,713,790,
379,509,617,714,791,
377,511,522,599,619,
489,512,620,715,803,
490,494,513,621,804,
491,514,579,716,805,
305,346,515,605,717,
492,516,622,718,806,
318,562,590,623,719,
320,563,591,625,720,
322,325,592,626,721,
517,593,616,627,722,
482,496,518,594,648,
519,595,628,723,807,
520,596,629,724,808,
521,597,630,725,809,
414,477,631,726,810,
415,598,632,727,811,
416,476,589,633,812,
374,523,600,728,813,
411,456,601,634,706,
412,457,602,635,707,
413,486,603,636,708,
307,436,607,637,729,
308,487,608,638,700,
309,488,609,639,701,
310,455,610,640,702,
311,450,587,641,814,
312,451,611,642,815,
323,574,730,773,868,
324,539,717,731,768,
326,573,732,761,867,
330,545,709,733,774,
331,669,734,775,869,
332,735,776,794,819,
333,668,736,777,870,
334,340,737,781,816,
335,553,738,778,817,
336,697,739,779,818,
337,552,740,780,819,
338,535,641,741,804,
341,742,782,820,871,
342,537,727,783,797,
345,528,743,784,821,
364,529,744,785,822,
365,683,720,823,872,
366,745,786,802,812,
367,746,787,810,823,
368,678,747,788,824,
369,418,704,731,757,
375,692,696,789,825,
569,637,643,748,873,
581,638,749,792,826,
639,644,750,827,874,
558,645,716,803,875,
498,646,751,760,828,
499,647,752,829,867,
497,543,649,662,742,
623,650,723,753,830,
624,628,651,719,876,
438,625,629,652,754,
402,454,653,744,831,
626,654,755,827,877,
417,703,730,756,832,
420,688,705,732,759,
422,425,630,733,760,
619,632,655,734,779,
656,735,751,761,833,
618,631,657,736,778,
441,658,737,834,878,
659,738,762,835,879,
660,739,763,836,880,
661,740,764,837,851,
541,580,741,765,838,
479,542,672,766,865,
493,559,663,691,881,
