r,4
s,5
n,960
m1,480
m2,384
0,1,2,3,
2,4,5,6,
0,7,9,11,
5,8,10,12,
1,13,16,18,
9,14,17,19,
7,10,15,20,
3,21,25,28,
4,22,26,29,
16,23,27,30,
13,17,24,31,
6,32,37,40,
8,33,38,41,
22,25,34,42,
26,35,39,43,
21,27,36,44,
11,45,53,59,
12,46,54,60,
14,47,55,61,
15,48,56,62,
33,37,49,63,
20,50,57,64,
38,51,58,65,
32,39,52,66,
18,67,78,85,
19,68,79,86,
23,69,80,87,
24,70,81,88,
47,53,71,89,
48,54,72,90,
31,73,82,91,
55,74,83,92,
56,75,84,93,
45,57,76,94,
46,58,77,95,
28,96,111,121,
29,97,112,122,
30,98,113,123,
34,99,114,124,
35,100,115,125,
36,101,116,126,
69,78,102,127,
70,79,103,128,
44,104,117,129,
42,105,118,130,
80,106,119,131,
81,107,120,132,
67,82,108,133,
68,83,109,134,
50,84,110,135,
40,85,136,154,
41,137,155,165,
43,138,156,166,
49,139,157,167,
51,140,158,168,
52,141,159,169,
99,111,142,170,
100,112,143,171,
101,113,144,172,
66,145,160,173,
63,146,161,174,
114,147,162,175,
115,148,163,176,
116,149,164,177,
96,117,150,178,
97,118,151,179,
98,119,152,180,
73,120,153,181,
59,121,182,210,
60,122,183,211,
61,184,212,230,
62,86,185,213,
64,165,186,214,
65,187,215,231,
71,188,216,232,
72,189,217,233,
74,190,218,234,
75,191,219,235,
76,192,220,236,
77,193,221,237,
139,154,194,238,
140,155,195,239,
141,156,196,240,
94,197,222,241,
95,198,223,242,
89,199,224,243,
90,200,225,244,
157,201,226,245,
135,202,227,246,
158,203,228,247,
159,204,229,248,
136,160,205,249,
137,161,206,250,
105,162,207,251,
138,163,208,252,
104,164,209,253,
87,254,289,310,
88,123,255,290,
91,230,256,291,
92,257,292,311,
93,258,293,312,
102,249,294,313,
103,259,295,314,
106,260,296,315,
107,261,297,316,
108,262,298,317,
109,263,299,318,
110,264,300,319,
188,210,265,320,
189,211,266,321,
190,212,267,322,
191,213,268,323,
192,214,269,324,
193,215,270,325,
133,194,271,326,
134,268,272,327,
127,273,301,328,
128,274,302,329,
216,275,303,330,
217,276,304,331,
181,277,305,332,
148,218,306,333,
219,278,307,334,
220,279,308,335,
221,280,309,336,
182,222,281,337,
183,223,282,338,
184,224,283,339,
185,225,259,284,
146,226,285,340,
186,227,286,341,
187,228,287,342,
145,229,288,343,
124,166,344,385,
125,345,386,411,
126,130,346,348,
129,310,347,387,
131,349,388,412,
132,350,389,413,
142,337,390,414,
143,338,391,415,
144,351,392,416,
147,352,393,417,
149,353,394,418,
150,354,395,419,
151,355,396,420,
152,356,397,421,
153,357,398,422,
260,289,358,423,
261,290,359,424,
262,291,360,425,
263,292,361,426,
264,293,362,427,
178,265,363,428,
179,266,364,429,
180,359,365,430,
170,366,399,431,
171,367,400,432,
172,368,401,433,
294,369,402,434,
295,370,403,435,
203,253,404,436,
251,371,405,437,
202,296,406,410,
297,372,407,438,
298,373,408,439,
299,374,409,440,
300,375,410,441,
254,301,376,442,
255,302,351,377,
199,303,378,443,
200,304,379,444,
256,305,380,445,
257,306,381,446,
258,307,382,447,
197,308,383,448,
198,309,384,449,
167,231,450,496,
168,451,497,525,
169,174,452,454,
173,411,453,498,
175,455,499,526,
176,456,500,527,
177,457,501,528,
195,341,502,529,
196,458,503,530,
201,459,504,531,
204,460,505,532,
205,461,506,533,
206,462,507,534,
207,463,508,535,
208,464,509,536,
209,465,510,537,
352,385,466,538,
333,386,467,539,
348,353,405,491,
354,387,468,540,
346,355,401,487,
356,388,469,541,
357,389,470,542,
250,269,471,543,
252,466,472,544,
238,473,511,545,
239,474,512,546,
240,475,513,547,
390,476,514,548,
391,477,515,549,
392,478,516,550,
278,343,517,551,
340,479,518,552,
277,393,519,524,
394,480,520,553,
395,481,521,554,
396,482,522,555,
397,483,523,556,
398,484,524,557,
344,399,458,485,
345,400,486,558,
273,402,488,559,
274,403,489,560,
347,404,490,561,
349,406,492,562,
350,407,493,563,
271,408,494,564,
272,409,495,565,
232,311,566,626,
233,312,567,627,
234,456,568,667,
235,569,628,668,
236,243,570,574,
237,244,571,575,
241,319,572,629,
242,525,573,630,
245,494,576,631,
246,577,632,668,
247,510,615,633,
248,578,634,669,
267,445,635,670,
270,579,636,671,
275,449,580,658,
276,581,637,672,
279,582,638,673,
280,583,639,674,
281,584,640,675,
282,585,641,676,
283,586,642,677,
284,587,643,678,
285,588,644,679,
286,589,645,680,
287,590,646,681,
288,434,591,647,
459,496,592,682,
436,497,593,683,
424,454,460,518,
461,498,594,684,
377,452,462,513,
463,499,595,685,
464,478,500,596,
465,501,597,686,
339,360,598,687,
342,592,599,688,
320,600,648,689,
321,601,649,690,
322,602,650,691,
323,603,651,692,
324,604,652,693,
325,605,653,694,
326,422,606,654,
502,562,607,655,
503,608,656,695,
372,448,657,696,
443,609,659,697,
444,610,660,698,
371,504,661,665,
505,611,662,699,
506,612,663,700,
426,507,664,701,
508,613,665,702,
509,614,666,703,
450,511,579,616,
451,512,560,704,
366,514,617,705,
367,515,618,706,
368,516,619,707,
453,517,620,708,
455,519,621,709,
457,520,614,622,
363,521,623,710,
364,522,624,711,
365,523,625,712,
313,412,663,762,
314,413,713,763,
315,577,714,797,
316,552,764,798,
317,328,676,690,
318,329,534,546,
327,667,715,765,
330,623,716,766,
331,624,717,767,
332,672,718,798,
334,495,647,768,
335,719,761,769,
336,720,770,799,
358,561,688,800,
361,721,771,801,
362,722,772,802,
369,565,723,787,
370,683,724,773,
373,585,630,736,
374,474,655,756,
375,725,774,800,
376,601,775,782,
378,726,776,803,
379,435,727,777,
380,581,627,733,
381,728,751,804,
382,729,778,805,
383,548,730,779,
384,549,716,731,
580,626,732,806,
551,628,734,807,
491,574,582,659,
538,575,583,660,
584,616,629,735,
487,570,586,652,
485,571,587,653,
588,631,737,808,
482,589,632,738,
590,608,633,739,
591,634,740,809,
442,468,741,810,
446,544,674,732,
447,733,742,811,
423,743,746,780,
425,567,649,722,
427,735,744,812,
428,537,745,781,
429,535,746,782,
635,709,747,783,
