r,5
s,4
n,80
m1,32
m2,40
0,1,2,3,6,
2,4,5,7,11,
0,8,10,12,17,
5,8,9,13,18,
1,14,16,19,27,
10,14,15,20,28,
3,21,25,29,40,
4,22,26,30,41,
16,21,23,31,42,
6,22,24,32,43,
7,33,38,40,57,
9,28,34,39,58,
24,25,35,44,59,
26,33,35,36,45,
11,19,34,37,46,
12,43,47,54,71,
13,48,55,57,62,
15,42,49,56,61,
31,37,38,50,72,
18,30,47,51,60,
39,48,50,52,61,
17,29,49,53,62,
20,63,69,71,74,
23,59,64,70,73,
44,53,54,65,66,
45,51,55,66,78,
56,63,65,67,73,
27,32,64,68,74,
36,70,72,75,77,
41,46,68,75,76,
58,60,69,76,79,
52,67,77,78,79,
0,2,5,8,
0,1,10,14,
1,3,16,21,
2,4,6,22,
3,6,24,25,
4,7,26,33,
5,9,11,34,
7,11,37,38,
8,12,18,47,
9,13,39,48,
10,15,17,49,
12,17,53,54,
13,18,51,55,
14,19,28,34,
15,20,56,63,
16,23,27,64,
19,27,46,68,
20,28,58,69,
21,29,42,49,
22,30,43,47,
23,31,70,72,
24,32,59,64,
25,33,35,40,
26,36,41,75,
29,40,57,62,
30,41,60,76,
31,42,50,61,
32,43,71,74,
35,44,45,66,
36,45,77,78,
37,46,72,75,
38,48,50,57,
39,52,58,79,
44,59,65,73,
51,60,78,79,
52,56,61,67,
53,55,62,66,
54,63,65,71,
67,70,73,77,
68,69,74,76,
