r,5
s,4
n,160
m1,64
m2,80
0,1,2,3,6,
2,4,5,7,11,
0,8,10,12,17,
5,8,9,13,18,
1,14,16,19,27,
10,14,15,20,28,
3,21,25,29,40,
4,22,26,30,41,
16,21,23,31,42,
6,22,24,32,43,
7,33,38,44,59,
9,34,39,45,60,
24,25,35,46,61,
26,33,36,47,62,
11,34,37,48,63,
12,49,56,64,81,
13,50,57,65,82,
15,51,58,66,68,
31,37,38,52,83,
18,49,53,67,84,
39,50,54,68,85,
17,51,55,69,86,
19,70,78,87,107,
20,71,79,88,104,
23,72,80,89,91,
46,55,56,73,108,
47,53,57,74,109,
28,70,75,90,110,
58,71,76,91,111,
27,72,77,92,112,
29,82,93,113,134,
30,94,103,114,135,
32,95,104,115,133,
35,96,105,116,120,
36,97,106,117,121,
41,77,78,97,102,
67,75,79,98,136,
42,93,99,118,137,
43,88,94,119,138,
80,83,100,120,125,
61,95,101,121,139,
40,65,96,122,140,
44,86,123,141,148,
45,124,132,137,142,
48,98,125,133,143,
52,90,99,126,145,
54,76,100,127,129,
60,102,103,127,131,
62,89,123,128,151,
63,115,124,144,152,
105,108,129,135,146,
106,109,130,136,145,
59,69,126,146,153,
64,112,147,151,154,
66,139,144,148,150,
73,101,118,130,149,
74,111,119,128,134,
81,92,131,132,149,
84,116,143,147,156,
85,107,117,122,150,
87,140,155,156,157,
110,114,153,155,158,
113,138,142,158,159,
141,152,154,157,159,
0,2,5,8,
0,1,10,14,
1,3,16,21,
2,4,6,22,
3,6,24,25,
4,7,26,33,
5,9,11,34,
7,11,37,38,
8,12,18,49,
9,13,39,50,
10,15,17,51,
12,17,55,56,
13,18,53,57,
14,19,28,70,
15,20,58,71,
16,23,27,72,
19,27,77,78,
20,28,75,79,
21,29,42,93,
22,30,43,94,
23,31,80,83,
24,32,61,95,
25,35,40,96,
26,36,41,97,
29,40,65,82,
30,41,102,103,
31,42,52,99,
32,43,88,104,
33,44,62,123,
34,45,63,124,
35,46,105,108,
36,47,106,109,
37,48,83,125,
38,52,59,126,
39,54,60,127,
44,59,69,86,
45,60,131,132,
46,61,73,101,
47,62,74,128,
48,63,115,133,
49,64,84,147,
50,65,85,122,
51,66,86,148,
53,67,109,136,
54,58,68,76,
55,69,108,146,
56,73,81,149,
57,74,82,134,
64,81,92,112,
66,68,85,150,
67,84,98,143,
70,87,110,155,
71,88,111,119,
72,89,112,151,
75,90,136,145,
76,80,91,100,
77,92,102,131,
78,97,107,117,
79,98,104,133,
87,107,122,140,
89,91,111,128,
90,110,126,153,
93,113,137,142,
94,114,138,158,
95,115,139,144,
96,116,140,156,
99,118,130,145,
100,105,120,129,
101,106,121,130,
103,127,129,135,
113,119,134,138,
114,135,146,153,
116,120,125,143,
117,121,139,150,
118,132,137,149,
123,141,151,154,
124,142,152,159,
141,144,148,152,
147,154,156,157,
155,157,158,159,
