r,4
s,5
n,660
m1,330
m2,264
0,1,2,3,
2,4,5,6,
0,7,9,11,
5,8,10,12,
1,13,16,18,
9,14,17,19,
7,10,15,20,
3,21,25,28,
4,22,26,29,
16,23,27,30,
13,17,24,31,
6,32,37,40,
8,33,38,41,
22,25,34,42,
26,35,39,43,
21,27,36,44,
11,45,53,59,
12,46,54,60,
14,47,55,61,
15,48,56,62,
33,37,49,63,
20,50,57,64,
38,51,58,65,
32,39,52,66,
18,67,78,85,
19,68,79,86,
23,69,80,87,
24,70,81,88,
47,53,71,89,
48,54,72,90,
31,73,82,91,
55,74,83,92,
56,75,84,93,
45,57,76,94,
46,58,77,95,
28,96,111,121,
29,97,112,122,
30,98,113,123,
34,99,114,124,
35,100,115,125,
36,101,116,126,
69,78,102,127,
70,79,103,128,
44,104,117,129,
42,105,118,130,
80,106,119,131,
81,107,120,132,
67,82,108,133,
68,83,109,134,
50,84,110,135,
40,136,154,165,
41,137,155,166,
43,138,156,167,
49,139,157,168,
51,140,158,169,
52,141,159,170,
99,111,142,171,
100,112,143,172,
101,113,144,173,
66,145,160,174,
63,146,161,175,
114,147,162,176,
115,148,163,177,
116,149,164,178,
96,117,150,179,
97,118,151,180,
98,119,152,181,
73,120,153,182,
59,183,210,230,
60,184,211,231,
61,185,212,232,
62,186,213,233,
64,187,214,234,
65,188,215,235,
71,189,216,236,
72,190,217,237,
74,191,218,238,
75,192,219,239,
76,193,220,240,
77,194,221,241,
139,154,195,242,
140,155,196,243,
141,144,156,197,
94,198,222,244,
95,199,223,245,
89,200,224,246,
90,201,225,247,
157,202,226,248,
135,203,227,249,
158,204,228,250,
159,205,229,251,
136,160,206,252,
128,137,161,253,
105,162,207,254,
138,163,208,255,
104,164,209,256,
85,257,290,311,
86,258,291,312,
87,259,292,313,
88,175,293,314,
91,237,260,315,
92,261,294,316,
93,262,295,317,
102,263,296,318,
103,264,297,319,
106,265,298,320,
107,266,288,321,
108,190,211,270,
109,267,299,322,
110,268,300,323,
189,210,269,324,
191,212,271,325,
192,213,272,326,
151,193,214,273,
194,197,215,274,
133,275,301,327,
134,276,302,328,
127,277,303,329,
216,278,304,330,
217,279,305,331,
182,280,306,332,
218,281,307,333,
219,282,308,334,
220,283,309,335,
221,280,284,310,
183,222,242,336,
184,223,285,337,
173,185,224,338,
171,186,225,339,
146,226,286,340,
187,227,287,341,
188,228,288,342,
145,229,289,343,
121,344,381,402,
122,329,382,403,
123,170,345,404,
124,247,383,405,
125,346,384,406,
126,246,385,407,
129,319,347,408,
130,240,348,409,
131,331,349,410,
132,250,386,411,
142,350,387,412,
143,351,388,413,
147,352,378,414,
148,353,389,390,
149,354,377,415,
150,264,291,357,
152,279,390,416,
153,355,380,417,
263,290,356,418,
265,292,358,419,
266,293,359,420,
267,273,294,360,
268,274,295,338,
179,361,391,421,
180,259,303,362,
181,363,392,422,
172,364,393,423,
296,365,394,424,
297,366,395,425,
256,367,396,426,
254,368,397,427,
298,364,369,398,
270,370,399,428,
299,367,371,400,
300,368,372,401,
257,301,324,429,
258,302,373,430,
200,304,374,431,
201,305,375,432,
260,306,376,433,
261,307,377,434,
262,308,378,435,
198,309,379,436,
199,310,380,437,
165,438,468,485,
166,423,469,486,
167,241,439,487,
168,244,470,488,
169,365,440,471,
174,412,441,489,
176,334,425,490,
177,335,442,491,
178,333,432,492,
195,443,472,493,
196,444,473,494,
202,320,374,445,
203,401,467,474,
204,446,475,476,
205,447,463,495,
206,350,381,448,
207,366,467,496,
208,283,476,497,
209,375,466,498,
351,382,449,499,
352,383,450,500,
353,363,384,451,
354,385,452,501,
355,360,362,386,
252,453,477,502,
253,346,393,395,
255,454,478,503,
243,455,479,504,
387,456,480,505,
349,388,398,457,
332,343,458,481,
325,340,482,506,
389,455,459,483,
357,458,460,484,
344,391,418,507,
345,392,461,508,
277,394,462,509,
347,396,463,510,
348,397,464,511,
275,399,465,491,
276,400,466,512,
230,513,545,568,
231,514,546,569,
232,317,547,570,
233,504,548,571,
234,322,515,572,
235,323,516,573,
236,327,536,549,
238,286,456,550,
239,457,517,551,
245,493,512,518,
248,330,424,505,
249,428,519,574,
251,426,436,562,
269,520,552,575,
271,503,521,553,
272,522,554,576,
278,414,462,523,
281,524,555,557,
282,321,525,556,
284,526,542,577,
285,443,468,527,
287,370,546,557,
289,379,465,544,
444,452,469,578,
445,470,528,579,
446,454,471,529,
404,447,530,580,
336,517,531,558,
337,532,559,581,
339,440,479,480,
341,533,560,582,
342,415,534,561,
326,513,535,558,
410,472,498,531,
442,473,483,536,
427,437,537,563,
419,431,564,577,
474,506,538,565,
475,535,539,566,
448,537,540,567,
438,477,499,583,
430,439,478,541,
441,481,542,584,
314,482,543,585,
361,484,544,574,
311,586,611,620,
312,587,612,621,
313,411,554,566,
315,416,588,622,
316,417,453,567,
318,421,529,601,
328,451,575,589,
356,573,590,593,
358,576,582,584,
359,591,613,623,
369,579,614,615,
371,592,607,624,
372,422,593,608,
373,520,545,594,
376,460,612,615,
449,521,547,625,
522,530,548,605,
523,549,595,599,
489,524,533,550,
525,534,551,596,
409,497,597,626,
487,526,594,627,
429,556,598,603,
433,528,616,628,
413,434,502,596,
435,495,599,617,
420,586,600,603,
406,490,552,598,
519,553,565,601,
500,509,618,624,
555,600,602,610,
527,538,604,619,
514,559,578,629,
508,515,560,605,
507,516,561,606,
488,562,607,630,
518,563,589,608,
407,564,609,629,
405,492,610,613,
402,631,638,642,
403,618,637,639,
408,496,532,619,
450,623,628,630,
459,622,640,641,
461,590,611,632,
464,540,638,641,
585,591,597,635,
572,592,632,643,
494,510,581,595,
511,588,616,635,
501,606,631,633,
486,614,633,634,
541,587,625,639,
570,583,617,636,
485,644,647,650,
539,626,648,649,
543,604,647,649,
580,636,644,645,
571,640,645,646,
568,648,652,653,
569,602,651,654,
609,627,651,652,
620,654,656,657,
621,634,655,658,
637,643,655,656,
642,646,658,659,
650,653,657,659,
0,2,5,7,10,
0,1,9,13,17,
1,3,16,21,27,
2,3,4,22,25,
4,6,26,32,39,
5,6,8,33,37,
7,11,20,45,57,
