r,5
s,4
n,1920
m1,768
m2,960
0,1,2,3,6,
2,4,5,7,11,
0,8,10,12,17,
5,8,9,13,18,
1,14,16,19,27,
10,14,15,20,28,
3,21,25,29,40,
4,22,26,30,41,
16,21,23,31,42,
6,22,24,32,43,
7,33,38,44,59,
9,34,39,45,60,
24,25,35,46,61,
26,33,36,47,62,
11,34,37,48,63,
12,49,56,64,82,
13,50,57,65,83,
15,51,58,66,84,
37,38,52,67,85,
18,49,53,68,86,
39,50,54,69,87,
17,51,55,70,88,
19,71,79,89,117,
20,72,80,90,118,
23,73,81,91,119,
55,56,74,92,120,
53,57,75,93,121,
28,71,76,94,122,
58,72,77,95,123,
27,73,78,96,124,
29,97,111,125,164,
30,98,112,126,165,
31,99,113,127,166,
32,100,114,128,167,
35,101,115,129,168,
36,102,116,130,169,
78,79,103,131,170,
76,80,104,132,171,
42,97,105,133,172,
43,98,106,134,173,
81,99,107,135,174,
61,100,108,136,175,
40,101,109,137,176,
41,102,110,138,177,
44,139,157,178,231,
45,140,158,179,232,
46,141,159,180,233,
47,142,160,181,234,
48,143,161,182,235,
52,144,162,183,236,
54,145,163,184,237,
109,111,146,185,238,
110,112,147,186,239,
105,113,148,187,240,
106,114,149,188,241,
62,139,150,189,242,
63,140,151,190,243,
115,141,152,191,244,
116,142,153,192,245,
85,143,154,193,246,
59,144,155,194,247,
60,145,156,195,248,
64,196,221,249,314,
65,197,222,250,315,
66,198,223,251,316,
67,199,224,252,317,
68,200,225,253,318,
69,201,226,254,319,
70,202,227,255,320,
74,203,228,256,321,
75,204,229,257,322,
77,205,230,258,323,
155,157,206,259,324,
156,158,207,260,325,
108,159,208,261,313,
150,160,209,262,326,
151,161,210,263,327,
86,196,211,264,328,
87,197,212,265,329,
88,198,213,266,330,
162,199,214,267,331,
121,200,215,268,332,
163,201,216,269,333,
120,202,217,270,334,
82,203,218,271,335,
83,204,219,272,336,
84,205,220,273,337,
89,274,302,338,432,
90,275,303,339,433,
91,276,304,340,434,
92,277,305,341,435,
93,278,306,342,436,
94,279,307,343,437,
95,280,308,344,438,
96,281,309,345,439,
103,282,310,346,440,
104,283,311,347,441,
107,284,312,348,442,
218,221,285,349,443,
219,222,286,350,444,
220,223,287,351,445,
154,224,288,352,431,
211,225,289,353,446,
212,226,290,354,447,
213,227,291,355,448,
122,274,292,356,449,
123,275,293,357,450,
124,276,294,358,451,
228,277,295,359,452,
229,278,296,360,453,
171,279,297,361,454,
153,230,280,362,455,
170,281,298,363,456,
117,282,299,364,457,
118,283,300,365,458,
119,284,301,366,459,
125,367,412,460,588,
126,368,413,461,589,
127,369,414,462,590,
128,370,415,463,591,
129,371,416,464,592,
130,372,417,465,593,
131,373,418,466,594,
132,374,419,467,595,
133,375,420,468,596,
134,376,421,469,597,
135,377,422,470,598,
136,378,423,471,599,
137,379,424,472,600,
138,380,425,473,601,
146,381,426,474,602,
147,382,427,475,603,
148,383,428,476,604,
149,384,429,477,605,
152,385,430,478,606,
299,302,386,479,607,
300,303,387,480,608,
301,304,388,481,609,
217,305,389,482,587,
215,306,312,377,390,
292,307,391,483,610,
293,308,392,484,611,
294,309,393,485,612,
172,367,394,486,613,
173,368,395,487,614,
174,369,396,488,615,
175,370,397,489,616,
176,371,398,490,617,
177,372,399,491,618,
310,373,400,492,619,
311,374,401,493,620,
240,375,402,494,621,
241,376,403,495,622,
216,313,378,496,623,
238,379,404,497,624,
239,380,405,498,625,
164,381,406,499,626,
165,382,407,500,627,
166,383,408,501,628,
167,384,409,502,629,
168,385,410,503,630,
169,362,411,504,631,
178,505,563,632,800,
179,506,564,633,801,
180,507,565,634,802,
181,508,566,635,803,
182,509,567,636,804,
183,510,568,637,749,
184,388,511,569,638,
185,512,570,639,805,
186,513,571,640,806,
187,514,572,641,807,
188,515,573,642,808,
189,516,574,643,809,
190,517,575,644,810,
191,518,576,645,811,
192,323,577,646,812,
193,519,578,647,813,
194,520,579,648,814,
195,521,580,649,815,
206,522,581,650,816,
207,478,523,582,817,
208,524,583,651,726,
209,525,584,652,818,
210,526,585,653,819,
214,527,586,654,820,
406,412,528,655,821,
407,413,529,656,822,
408,414,530,657,823,
409,415,531,658,824,
410,416,532,659,825,
411,417,533,660,826,
298,418,534,661,799,
297,419,430,518,535,
394,420,536,662,827,
395,421,537,663,828,
396,422,538,664,829,
397,423,539,665,830,
398,424,540,666,831,
399,425,541,667,832,
242,505,542,668,833,
243,506,543,669,834,
244,507,544,670,835,
245,508,545,671,836,
246,509,546,672,837,
247,510,547,673,838,
248,511,548,674,839,
426,512,549,675,840,
402,427,513,572,729,
428,514,550,676,841,
429,515,551,677,842,
326,516,552,678,843,
327,517,553,679,844,
295,431,519,680,845,
324,520,554,681,846,
325,521,555,682,847,
231,522,556,683,848,
232,523,557,684,849,
233,524,558,685,850,
234,525,559,686,851,
235,526,560,687,852,
236,527,561,688,853,
237,496,562,689,854,
249,690,767,855,1048,
250,691,768,856,1049,
251,692,769,857,1050,
252,693,770,858,1051,
253,694,771,859,1052,
254,695,772,860,1053,
255,696,773,861,1054,
256,533,697,774,862,
257,698,775,863,994,
258,532,699,776,864,
259,700,777,865,1055,
260,701,778,866,1056,
261,269,702,786,867,
262,619,703,779,868,
263,704,780,869,1057,
264,705,781,870,1058,
265,706,782,871,1059,
266,707,783,872,1060,
267,708,784,873,1061,
268,442,785,874,1062,
270,709,787,875,1063,
271,710,788,876,1064,
272,711,789,877,1065,
273,712,790,878,1066,
285,654,713,791,1067,
286,714,792,879,1068,
287,475,715,793,1069,
288,716,794,880,967,
289,717,795,881,1070,
290,718,796,882,1071,
291,719,797,883,1072,
296,346,720,798,934,
556,563,721,884,1073,
557,564,722,885,1074,
558,565,723,886,1075,
559,566,724,823,1076,
560,567,725,887,1077,
561,568,726,888,1078,
434,562,569,889,1079,
404,570,727,890,1046,
405,571,728,891,1047,
403,573,586,708,730,
542,574,731,892,1080,
543,575,732,893,1081,
544,576,733,894,1082,
545,577,734,895,1083,
488,546,578,735,1084,
547,579,736,896,1085,
548,580,737,897,1086,
328,690,738,898,1087,
329,691,739,899,1088,
330,692,740,900,1089,
331,662,693,741,1090,
332,694,742,901,1091,
333,484,695,743,1092,
334,696,744,902,1093,
335,697,745,903,1094,
336,698,746,904,1095,
337,699,747,905,1096,
581,595,700,748,906,
552,582,701,779,970,
583,702,749,907,1097,
584,703,750,908,1098,
585,704,751,909,1099,
446,705,752,910,1100,
447,706,753,911,1101,
448,707,754,912,1102,
400,587,709,913,1103,
443,710,755,914,1104,
444,711,756,915,1105,
445,712,757,916,1106,
314,713,758,917,1107,
315,714,759,918,1108,
316,715,760,919,1109,
317,716,761,920,1110,
