t,m,l,a1,a2,a3,b1,b2,b3,emb_m,emb_l,aa,bb,p_phys,p_mask,no_test,no_success,p_log,min,adv,k
10,3,15,5,0,2,2,1,8,3,15,3,3,0.005,0.3333333333333333,10001,9797,0.9796020397960205,20,0.46677589339979403,8
10,3,15,5,0,1,1,7,11,3,15,3,3,0.005,0.3333333333333333,10001,9790,0.9789021097890211,20,0.46677589339979414,8
10,3,15,5,1,2,1,8,7,3,15,3,0,0.005,0.3333333333333333,20002,19576,0.9787021297870212,20,0.46677589339979403,8
10,3,15,5,2,0,1,2,1,3,15,2,5,0.005,0.3333333333333333,20002,19573,0.9785521447855214,20,0.47304903845056245,8
10,3,15,10,2,0,1,6,7,3,15,1,1,0.005,0.3333333333333333,20002,19572,0.9785021497850216,20,0.4730490384505623,8
10,3,15,10,0,2,1,13,9,3,15,4,5,0.005,0.3333333333333333,10001,9784,0.9783021697830216,20,0.46677589339979403,8
10,3,15,5,0,2,2,12,4,3,15,5,2,0.005,0.3333333333333333,20002,19568,0.9783021697830216,20,0.46677589339979403,8
10,3,15,5,2,0,1,7,14,3,15,3,1,0.005,0.3333333333333333,20002,19567,0.9782521747825218,20,0.46677589339979403,8
10,3,15,10,2,1,1,1,9,3,15,1,4,0.005,0.3333333333333333,20002,19567,0.9782521747825218,20,0.4730490384505623,8
10,3,15,10,2,1,1,8,12,3,15,4,0,0.005,0.3333333333333333,20002,19567,0.9782521747825218,20,0.4730490384505623,8
10,3,15,10,2,0,1,4,12,3,15,0,5,0.005,0.3333333333333333,20002,19566,0.9782021797820218,20,0.46677589339979403,8
10,3,15,10,1,0,2,7,11,3,15,2,5,0.005,0.3333333333333333,20002,19566,0.9782021797820218,20,0.4730490384505622,8
10,3,15,5,2,1,2,8,7,3,15,3,0,0.005,0.3333333333333333,20002,19565,0.978152184781522,20,0.46677589339979403,8
10,3,15,5,0,1,2,1,2,3,15,2,1,0.005,0.3333333333333333,20002,19563,0.978052194780522,20,0.46677589339979414,8
10,3,15,5,2,1,2,9,11,3,15,5,0,0.005,0.3333333333333333,20002,19563,0.978052194780522,20,0.4730490384505623,8
10,3,15,10,0,1,2,14,13,3,15,2,1,0.005,0.3333333333333333,20002,19562,0.978002199780022,20,0.46677589339979403,8
10,3,15,5,0,1,1,1,8,3,15,3,3,0.005,0.3333333333333333,10001,9781,0.978002199780022,20,0.46677589339979403,8
10,3,15,5,2,0,1,8,9,3,15,1,5,0.005,0.3333333333333333,10001,9781,0.978002199780022,20,0.4730490384505623,8
10,3,15,5,1,2,2,8,7,3,15,3,0,0.005,0.3333333333333333,10001,9781,0.978002199780022,20,0.47304903845056234,8
10,3,15,5,1,2,2,8,7,3,15,2,0,0.005,0.3333333333333333,20002,19561,0.977952204779522,20,0.46677589339979403,8
10,3,15,5,1,0,2,13,11,3,15,3,1,0.005,0.3333333333333333,20002,19560,0.977902209779022,20,0.46677589339979403,8
10,3,15,5,2,1,2,2,13,3,15,3,0,0.005,0.3333333333333333,10001,9780,0.977902209779022,20,0.46677589339979403,8
10,3,15,5,0,2,2,8,1,3,15,3,2,0.005,0.3333333333333333,20002,19559,0.977852214778522,20,0.46677589339979403,8
10,3,15,5,1,2,2,14,6,3,15,0,4,0.005,0.3333333333333333,20002,19559,0.977852214778522,20,0.46677589339979403,8
10,3,15,10,2,1,1,11,4,3,15,3,4,0.005,0.3333333333333333,20002,19558,0.9778022197780222,20,0.4730490384505622,8
10,3,15,5,2,1,1,7,8,3,15,3,4,0.005,0.3333333333333333,20002,19557,0.9777522247775222,20,0.4730490384505623,8
10,3,15,10,2,1,1,14,1,3,15,3,4,0.005,0.3333333333333333,20002,19557,0.9777522247775222,20,0.47304903845056234,8
10,3,15,10,1,2,2,8,7,3,15,2,4,0.005,0.3333333333333333,10001,9778,0.9777022297770224,20,0.466775893399794,8
10,3,15,10,2,1,2,13,2,3,15,3,0,0.005,0.3333333333333333,20002,19556,0.9777022297770224,20,0.46677589339979403,8
10,3,15,5,2,1,1,8,12,3,15,1,4,0.005,0.3333333333333333,20002,19556,0.9777022297770224,20,0.4730490384505623,8
10,3,15,10,0,2,2,14,7,3,15,3,3,0.005,0.3333333333333333,20002,19555,0.9776522347765224,20,0.46677589339979403,8
10,3,15,10,0,1,1,13,11,3,15,3,2,0.005,0.3333333333333333,20002,19554,0.9776022397760225,20,0.46677589339979403,8
10,3,15,5,0,2,2,13,14,3,15,2,3,0.005,0.3333333333333333,20002,19554,0.9776022397760225,20,0.4730490384505625,8
10,3,15,10,2,0,1,1,3,3,15,0,5,0.005,0.3333333333333333,20002,19553,0.9775522447755224,20,0.46677589339979403,8
10,3,15,5,0,1,1,2,4,3,15,3,2,0.005,0.3333333333333333,10001,9776,0.9775022497750224,20,0.46677589339979403,8
10,3,15,5,2,1,1,3,2,3,15,1,0,0.005,0.3333333333333333,20002,19551,0.9774522547745226,20,0.4730490384505623,8
10,3,15,10,2,0,2,12,14,3,15,1,2,0.005,0.3333333333333333,20002,19550,0.9774022597740226,20,0.46677589339979403,8
10,3,15,5,2,1,2,1,14,3,15,2,4,0.005,0.3333333333333333,10001,9775,0.9774022597740226,20,0.47304903845056245,8
10,3,15,10,2,0,2,8,9,3,15,0,3,0.005,0.3333333333333333,10001,9775,0.9774022597740226,20,0.47304903845056256,8
10,3,15,5,2,0,2,9,13,3,15,1,2,0.005,0.3333333333333333,20002,19549,0.9773522647735228,20,0.46677589339979403,8
10,3,15,5,0,2,2,7,6,3,15,5,3,0.005,0.3333333333333333,20002,19549,0.9773522647735228,20,0.46677589339979414,8
10,3,15,10,0,1,2,14,13,3,15,3,1,0.005,0.3333333333333333,20002,19549,0.9773522647735228,20,0.47304903845056234,8
10,3,15,10,0,1,1,13,11,3,15,2,2,0.005,0.3333333333333333,20002,19549,0.9773522647735228,20,0.47304903845056245,8
10,3,15,5,0,1,2,13,11,3,15,2,1,0.005,0.3333333333333333,20002,19548,0.9773022697730228,20,0.46677589339979403,8
10,3,15,5,2,1,1,11,9,3,15,0,4,0.005,0.3333333333333333,20002,19548,0.9773022697730228,20,0.46677589339979403,8
10,3,15,5,1,0,2,3,11,3,15,1,1,0.005,0.3333333333333333,20002,19548,0.9773022697730228,20,0.4730490384505623,8
10,3,15,5,2,0,1,7,14,3,15,2,1,0.005,0.3333333333333333,20002,19548,0.9773022697730228,20,0.47304903845056234,8
10,3,15,10,2,0,1,13,9,3,15,0,5,0.005,0.3333333333333333,20002,19547,0.9772522747725229,20,0.46677589339979403,8
10,3,15,10,2,1,1,3,7,3,15,0,0,0.005,0.3333333333333333,20002,19547,0.9772522747725229,20,0.46677589339979403,8
10,3,15,10,0,2,2,13,11,3,15,3,2,0.005,0.3333333333333333,20002,19546,0.9772022797720228,20,0.46677589339979403,8
10,3,15,5,0,1,2,6,2,3,15,5,1,0.005,0.3333333333333333,20002,19546,0.9772022797720228,20,0.4730490384505623,8
10,3,15,5,0,2,2,7,6,3,15,4,3,0.005,0.3333333333333333,20002,19546,0.9772022797720228,20,0.4730490384505625,8
10,3,15,5,1,2,2,7,8,3,15,2,4,0.005,0.3333333333333333,20002,19544,0.9771022897710228,20,0.46677589339979403,8
10,3,15,10,1,2,1,8,7,3,15,3,4,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.466775893399794,8
10,3,15,5,2,0,1,14,7,3,15,3,5,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.46677589339979403,8
10,3,15,5,2,0,2,4,2,3,15,2,3,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.46677589339979403,8
10,3,15,10,2,0,2,3,11,3,15,0,2,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.4730490384505622,8
10,3,15,10,1,2,2,3,7,3,15,1,0,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.4730490384505623,8
10,3,15,10,2,1,2,9,1,3,15,5,0,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.4730490384505623,8
10,3,15,5,2,0,2,4,12,3,15,0,3,0.005,0.3333333333333333,20002,19543,0.9770522947705228,20,0.47304903845056234,8
10,3,15,10,2,0,2,11,3,3,15,1,3,0.005,0.3333333333333333,10001,9771,0.977002299770023,20,0.46677589339979403,8
10,3,15,10,2,1,2,4,11,3,15,3,0,0.005,0.3333333333333333,20002,19542,0.977002299770023,20,0.46677589339979403,8
10,3,15,5,2,1,1,7,3,3,15,5,0,0.005,0.3333333333333333,20002,19542,0.977002299770023,20,0.46677589339979403,8
10,3,15,5,2,1,1,1,14,3,15,3,4,0.005,0.3333333333333333,20002,19542,0.977002299770023,20,0.4730490384505624,8
10,3,15,10,1,2,1,6,14,3,15,1,4,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.466775893399794,8
10,3,15,5,0,2,2,4,2,3,15,3,3,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.46677589339979403,8
10,3,15,5,1,0,2,2,1,3,15,3,5,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.46677589339979414,8
10,3,15,5,2,1,2,1,9,3,15,1,0,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.46677589339979414,8
10,3,15,10,0,1,2,4,12,3,15,5,5,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.4730490384505623,8
10,3,15,10,2,0,1,12,4,3,15,1,1,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.4730490384505623,8
10,3,15,5,1,2,2,14,1,3,15,3,0,0.005,0.3333333333333333,20002,19541,0.976952304769523,20,0.47304903845056245,8
10,3,15,10,1,0,2,2,4,3,15,3,1,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.46677589339979403,8
10,3,15,10,2,1,1,3,2,3,15,5,4,0.005,0.3333333333333333,10001,9770,0.9769023097690231,20,0.46677589339979403,8
10,3,15,5,0,1,1,8,1,3,15,3,2,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.46677589339979403,8
10,3,15,5,1,0,1,14,13,3,15,2,2,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.46677589339979414,8
10,3,15,5,1,2,1,8,7,3,15,2,0,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.4730490384505623,8
10,3,15,10,2,0,1,4,2,3,15,2,5,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.47304903845056234,8
10,3,15,5,0,1,1,8,1,3,15,2,2,0.005,0.3333333333333333,20002,19540,0.9769023097690231,20,0.47304903845056234,8
10,3,15,5,2,0,1,8,4,3,15,3,5,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.46677589339979403,8
10,3,15,5,2,0,2,12,4,3,15,1,2,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.46677589339979403,8
10,3,15,10,1,2,2,1,14,3,15,3,0,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.4730490384505623,8
10,3,15,5,1,2,1,2,13,3,15,2,0,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.4730490384505623,8
10,3,15,10,0,2,2,4,8,3,15,2,2,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.47304903845056234,8
10,3,15,5,1,0,1,2,4,3,15,3,2,0.005,0.3333333333333333,20002,19539,0.9768523147685232,20,0.47304903845056234,8
10,3,15,10,0,2,1,6,7,3,15,4,1,0.005,0.3333333333333333,20002,19538,0.9768023197680232,20,0.46677589339979403,8
10,3,15,10,2,0,1,9,13,3,15,1,1,0.005,0.3333333333333333,20002,19538,0.9768023197680232,20,0.4730490384505623,8
10,3,15,5,0,2,2,12,4,3,15,4,2,0.005,0.3333333333333333,20002,19538,0.9768023197680232,20,0.47304903845056234,8
10,3,15,10,2,0,2,3,11,3,15,1,2,0.005,0.3333333333333333,20002,19537,0.9767523247675232,20,0.46677589339979403,8
10,3,15,10,2,1,1,4,11,3,15,2,0,0.005,0.3333333333333333,20002,19537,0.9767523247675232,20,0.46677589339979403,8
10,3,15,5,1,2,2,3,2,3,15,0,0,0.005,0.3333333333333333,20002,19537,0.9767523247675232,20,0.46677589339979403,8
10,3,15,10,2,0,2,13,11,3,15,3,2,0.005,0.3333333333333333,20002,19537,0.9767523247675232,20,0.47304903845056245,8
10,3,15,5,0,1,1,7,11,3,15,2,3,0.005,0.3333333333333333,20002,19537,0.9767523247675232,20,0.4730490384505625,8
10,3,15,10,1,2,1,4,11,3,15,2,0,0.005,0.3333333333333333,20002,19536,0.9767023297670232,20,0.4730490384505622,8
10,3,15,5,2,0,1,12,14,3,15,1,1,0.005,0.3333333333333333,20002,19536,0.9767023297670232,20,0.4730490384505623,8
10,3,15,10,0,2,1,2,4,3,15,3,1,0.005,0.3333333333333333,20002,19536,0.9767023297670232,20,0.47304903845056234,8
10,3,15,10,2,1,1,11,9,3,15,4,0,0.005,0.3333333333333333,20002,19536,0.9767023297670232,20,0.47304903845056234,8
10,3,15,5,1,2,1,11,4,3,15,3,0,0.005,0.3333333333333333,20002,19535,0.9766523347665234,20,0.46677589339979403,8
10,3,15,10,1,0,1,8,4,3,15,3,3,0.005,0.3333333333333333,20002,19535,0.9766523347665234,20,0.47304903845056234,8
