t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,3,15,1,0,1,0,4,11,3,15,2,4,0.005,0.2666666666666666,9501,9355,0.984633196505631,10,4,0.4920503880166793
10,3,15,1,0,1,0,4,11,3,15,2,5,0.005,0.3333333333333333,9501,9290,0.9777918113882748,10,4,0.4164147226743563
10,3,15,1,0,1,0,4,11,3,15,3,4,0.005,0.2666666666666666,9501,9355,0.984633196505631,10,4,0.48465663987037094
10,3,15,1,0,1,0,4,11,3,15,3,5,0.005,0.3333333333333333,9501,9317,0.980633617513946,10,4,0.40939574193047384
10,3,15,1,0,1,0,8,1,3,15,2,0,0.005,0.2,9501,9152,0.9632670245237344,8,4,0.4445182426136654
10,3,15,1,0,1,0,8,1,3,15,2,1,0.005,0.1333333333333333,9501,9269,0.9755815177349751,8,4,0.5669219489523737
10,3,15,1,0,1,0,8,1,3,15,2,3,0.005,0.2,9501,9141,0.9621092516577202,8,4,0.5189575957955583
10,3,15,1,0,1,0,8,1,3,15,3,0,0.005,0.2,9501,9136,0.9615829912640774,8,4,0.43109139412473846
10,3,15,1,0,1,0,8,1,3,15,3,1,0.005,0.1333333333333333,9501,9279,0.9766340385222608,8,4,0.553089545486016
10,3,15,1,0,1,0,8,1,3,15,3,2,0.005,0.2666666666666666,9501,9019,0.9492684980528364,8,4,0.41405167972560525
10,3,15,1,0,1,0,8,1,3,15,3,3,0.005,0.2,9501,9138,0.9617934954215346,8,4,0.5045294526670258
10,3,15,1,0,1,0,8,7,3,15,2,0,0.005,0.2666666666666666,9501,9022,0.9495842542890222,8,4,0.42790909588071047
10,3,15,1,0,1,0,8,7,3,15,2,1,0.005,0.2,9501,9143,0.9623197558151774,8,4,0.5189575957955583
10,3,15,1,0,1,0,8,7,3,15,2,4,0.005,0.1333333333333333,9501,9275,0.9762130302073466,8,4,0.5669219489523737
10,3,15,1,0,1,0,8,7,3,15,2,5,0.005,0.2,9501,9151,0.9631617724450058,8,4,0.4445182426136654
