t,m,l,a1,a2,a3,b1,b2,b3,emb_m,emb_l,aa,bb,p_phys,p_mask,no_test,no_success,p_log,min,adv,k
10,6,30,15,1,2,5,6,17,6,30,2,4,0.005,0.1,10001,9753,0.9752024797520248,64,0.842833523010585,16
10,6,30,27,1,2,3,1,2,6,30,3,2,0.005,0.1,10001,9751,0.975002499750025,22,0.5983388736689147,12
10,6,30,15,2,1,1,3,16,6,30,1,4,0.005,0.1,10001,9751,0.975002499750025,44,0.8400366023067516,16
10,6,30,15,5,4,1,6,17,6,30,4,4,0.005,0.1,10001,9751,0.975002499750025,44,0.8400366023067517,16
10,6,30,15,2,1,1,18,16,6,30,0,4,0.005,0.1,10001,9749,0.9748025197480252,46,0.8392224311125152,12
10,6,30,15,1,2,5,26,3,6,30,1,0,0.005,0.1,10001,9749,0.9748025197480252,64,0.8422412670994658,12
10,6,30,15,4,5,1,11,18,6,30,3,0,0.005,0.1,10001,9749,0.9748025197480252,64,0.842833523010585,16
10,6,30,15,4,5,1,13,24,6,30,0,0,0.005,0.1,10001,9748,0.9747025297470252,44,0.8400366023067516,16
10,6,30,15,4,5,2,21,17,6,30,3,5,0.005,0.1,10001,9747,0.9746025397460254,46,0.8395063173302744,12
10,6,30,15,1,2,5,26,3,6,30,5,0,0.005,0.1,10001,9745,0.9744025597440256,44,0.8391143194412571,12
10,6,30,15,1,2,1,21,2,6,30,5,4,0.005,0.1,10001,9745,0.9744025597440256,44,0.8400366023067515,16
10,6,30,15,1,2,1,21,2,6,30,5,5,0.005,0.1,10001,9744,0.9743025697430256,44,0.8394289662640672,16
10,6,30,15,4,5,2,21,17,6,30,4,4,0.005,0.1,10001,9744,0.9743025697430256,46,0.8395193132655283,12
10,6,30,15,1,2,5,16,9,6,30,0,3,0.005,0.1,10001,9744,0.9743025697430256,64,0.8422412670994662,12
10,6,30,15,1,2,5,6,17,6,30,4,5,0.005,0.1,10001,9743,0.9742025797420258,44,0.8394289662640672,16
10,6,30,15,2,1,1,18,16,6,30,0,5,0.005,0.1,10001,9742,0.974102589741026,46,0.8386952913054277,12
10,6,30,15,5,4,4,28,27,6,30,2,3,0.005,0.1,10001,9742,0.974102589741026,46,0.8400957024990462,12
10,6,30,15,4,5,1,11,18,6,30,1,0,0.005,0.1,10001,9742,0.974102589741026,44,0.8403442557734748,16
10,6,30,15,1,2,1,21,2,6,30,0,4,0.005,0.1,10001,9742,0.974102589741026,64,0.842662023547059,16
10,6,30,15,1,2,5,16,9,6,30,2,3,0.005,0.1,10001,9741,0.974002599740026,44,0.8399343898692638,12
10,6,30,15,4,5,2,21,17,6,30,5,5,0.005,0.1,10001,9739,0.9738026197380262,46,0.8386952913054277,12
10,6,30,15,4,5,5,19,6,6,30,5,2,0.005,0.1,10001,9738,0.9737026297370264,44,0.8393693155187204,12
10,6,30,15,1,2,1,21,2,6,30,4,4,0.005,0.1,10001,9738,0.9737026297370264,44,0.8403442557734749,16
10,6,30,15,1,2,5,16,9,6,30,3,3,0.005,0.1,10001,9737,0.9736026397360265,44,0.8391143194412571,12
10,6,30,15,4,5,1,13,24,6,30,2,0,0.005,0.1,10001,9737,0.9736026397360265,64,0.842662023547059,16
10,6,30,15,4,5,2,21,17,6,30,2,4,0.005,0.1,10001,9736,0.9735026497350264,46,0.8399778218046859,12
10,6,30,15,2,1,1,3,16,6,30,0,4,0.005,0.1,10001,9736,0.9735026497350264,44,0.8403442557734749,16
10,6,30,15,4,5,2,21,17,6,30,2,5,0.005,0.1,10001,9735,0.9734026597340266,46,0.8393620423430643,12
10,6,30,15,2,1,1,3,16,6,30,5,4,0.005,0.1,10001,9734,0.9733026697330268,64,0.842833523010585,16
10,6,30,15,5,4,1,6,17,6,30,4,5,0.005,0.1,10001,9733,0.9732026797320268,44,0.8394289662640674,16
10,6,30,15,4,5,5,19,6,6,30,5,3,0.005,0.1,10001,9733,0.9732026797320268,44,0.8399343898692636,12
10,6,30,15,4,5,2,21,17,6,30,3,4,0.005,0.1,10001,9733,0.9732026797320268,46,0.8400957024990463,12
10,6,30,15,2,1,1,18,16,6,30,4,4,0.005,0.1,10001,9732,0.9731026897310268,46,0.8400957024990463,12
10,6,30,15,2,1,1,3,16,6,30,0,5,0.005,0.1,10001,9731,0.973002699730027,44,0.8397476650261262,16
10,6,30,15,5,4,4,28,27,6,30,3,2,0.005,0.1,10001,9729,0.9728027197280272,46,0.8393620423430641,12
10,6,30,15,4,5,1,13,24,6,30,1,1,0.005,0.1,10001,9729,0.9728027197280272,44,0.8397476650261261,16
10,6,30,15,1,2,5,16,9,6,30,1,3,0.005,0.1,10001,9729,0.9728027197280272,64,0.8425716023172518,12
10,6,30,15,4,5,5,19,6,6,30,4,3,0.005,0.1,10001,9728,0.9727027297270272,44,0.839114319441257,12
10,6,30,15,1,2,1,21,2,6,30,1,4,0.005,0.1,10001,9728,0.9727027297270272,64,0.8428335230105849,16
10,6,30,15,1,2,5,16,9,6,30,2,2,0.005,0.1,10001,9727,0.9726027397260274,44,0.8393693155187207,12
10,6,30,15,5,4,1,6,17,6,30,5,5,0.005,0.1,10001,9727,0.9726027397260274,44,0.8397476650261263,16
10,6,30,15,1,2,5,26,3,6,30,5,1,0.005,0.1,10001,9726,0.9725027497250276,44,0.8385687445892182,12
10,6,30,15,1,2,5,26,3,6,30,4,0,0.005,0.1,10001,9725,0.9724027597240276,44,0.8399343898692638,12
10,6,30,15,2,1,1,18,16,6,30,5,4,0.005,0.1,10001,9725,0.9724027597240276,46,0.8399778218046859,12
10,6,30,15,5,4,4,28,27,6,30,1,2,0.005,0.1,10001,9724,0.9723027697230276,46,0.8386952913054277,12
10,6,30,15,1,2,5,26,3,6,30,4,1,0.005,0.1,10001,9724,0.9723027697230276,44,0.8393693155187207,12
10,6,30,15,5,4,1,6,17,6,30,5,4,0.005,0.1,10001,9723,0.9722027797220278,44,0.840344255773475,16
10,6,30,15,1,2,5,16,9,6,30,3,2,0.005,0.1,10001,9722,0.972102789721028,44,0.838568744589218,12
10,6,30,15,4,5,1,11,18,6,30,1,1,0.005,0.1,10001,9720,0.971902809719028,44,0.8397476650261263,16
10,6,30,15,2,1,1,3,16,6,30,4,4,0.005,0.1,10001,9719,0.9718028197180282,64,0.8426620235470592,16
10,6,30,15,2,1,1,18,16,6,30,1,4,0.005,0.1,10001,9717,0.9716028397160285,46,0.8395193132655281,12
10,6,30,15,5,4,4,28,27,6,30,0,2,0.005,0.1,10001,9713,0.9712028797120288,46,0.8389349363336951,12
10,6,30,15,5,4,4,28,27,6,30,1,3,0.005,0.1,10001,9713,0.9712028797120288,46,0.839222431112515,12
10,6,30,15,4,5,5,19,1,6,30,1,0,0.005,0.1333333333333333,10001,9711,0.971002899710029,60,0.8028421703291232,16
10,6,30,15,1,2,5,6,17,6,30,5,5,0.005,0.1,10001,9707,0.9706029397060294,44,0.8397476650261263,16
10,6,30,15,2,1,3,9,17,6,30,2,5,0.005,0.1333333333333333,10001,9706,0.9705029497050296,44,0.8009302966856721,16
10,6,30,15,2,1,3,13,7,6,30,1,4,0.005,0.1333333333333333,10001,9705,0.9704029597040296,60,0.8028421703291231,16
10,6,30,15,4,5,5,19,6,6,30,4,2,0.005,0.1,10001,9704,0.9703029697030296,44,0.838568744589218,12
10,6,30,15,4,5,0,7,28,6,30,4,1,0.005,0.1333333333333333,10001,9702,0.97010298970103,44,0.7992381079333174,16
10,6,30,15,4,5,3,29,11,6,30,0,0,0.005,0.1333333333333333,10001,9702,0.97010298970103,60,0.8027838899464614,16
10,6,30,15,5,4,1,4,16,6,30,0,4,0.005,0.1333333333333333,10001,9698,0.9697030296970304,60,0.8028421703291231,16
10,6,30,15,2,1,3,13,7,6,30,0,4,0.005,0.1333333333333333,10001,9697,0.9696030396960305,60,0.8027838899464619,16
10,6,30,15,5,4,1,4,16,6,30,1,4,0.005,0.1333333333333333,10001,9697,0.9696030396960305,60,0.802783889946462,16
10,6,30,15,4,5,3,29,11,6,30,2,0,0.005,0.1333333333333333,10001,9696,0.9695030496950304,60,0.8028421703291226,16
10,6,30,15,5,4,1,4,16,6,30,1,0,0.005,0.1333333333333333,10001,9695,0.9694030596940306,60,0.8027838899464621,16
10,6,30,15,1,2,0,9,7,6,30,1,4,0.005,0.1333333333333333,10001,9694,0.9693030696930308,44,0.7998652819218881,16
10,6,30,15,4,5,3,16,4,6,30,5,4,0.005,0.1333333333333333,10001,9694,0.9693030696930308,60,0.8027838899464621,16
10,6,30,15,2,1,3,9,17,6,30,3,5,0.005,0.1333333333333333,10001,9693,0.9692030796920308,44,0.8003014596993164,16
10,6,30,15,2,1,3,13,7,6,30,3,4,0.005,0.1333333333333333,10001,9693,0.9692030796920308,60,0.8027838899464621,16
10,6,30,15,5,4,3,18,14,6,30,4,5,0.005,0.1333333333333333,10001,9692,0.9691030896910308,44,0.8009302966856721,16
10,6,30,15,1,2,0,9,7,6,30,0,5,0.005,0.1333333333333333,10001,9690,0.9689031096890312,44,0.8003014596993163,16
10,6,30,15,4,5,3,16,4,6,30,0,4,0.005,0.1333333333333333,10001,9690,0.9689031096890312,60,0.8028421703291231,16
10,6,30,27,5,4,3,29,28,6,30,3,3,0.005,0.1333333333333333,10001,9689,0.9688031196880312,22,0.5632355666526738,12
10,6,30,15,4,5,3,16,4,6,30,1,4,0.005,0.1333333333333333,10001,9689,0.9688031196880312,60,0.802783889946462,16
10,6,30,15,4,5,5,19,1,6,30,0,4,0.005,0.1333333333333333,10001,9685,0.9684031596840316,60,0.8027838899464619,16
10,6,30,15,4,5,3,29,11,6,30,1,0,0.005,0.1333333333333333,10001,9685,0.9684031596840316,60,0.802842170329123,16
10,6,30,15,4,5,3,29,11,6,30,0,4,0.005,0.1333333333333333,10001,9684,0.9683031696830317,60,0.802783889946462,16
10,6,30,15,2,1,3,9,17,6,30,3,4,0.005,0.1333333333333333,10001,9683,0.9682031796820318,44,0.7992381079333176,16
10,6,30,15,4,5,5,19,1,6,30,1,4,0.005,0.1333333333333333,10001,9683,0.9682031796820318,60,0.8028421703291232,16
10,6,30,15,1,2,4,23,17,6,30,1,4,0.005,0.1333333333333333,10001,9682,0.968103189681032,60,0.8028421703291232,16
10,6,30,15,4,5,0,7,28,6,30,5,0,0.005,0.1333333333333333,10001,9681,0.968003199680032,44,0.8009302966856721,16
10,6,30,15,2,1,3,13,7,6,30,2,4,0.005,0.1333333333333333,10001,9681,0.968003199680032,60,0.8028421703291233,16
10,6,30,15,1,2,4,23,17,6,30,0,4,0.005,0.1333333333333333,10001,9680,0.967903209679032,60,0.8027838899464619,16
10,6,30,15,4,5,5,19,1,6,30,3,0,0.005,0.1333333333333333,10001,9680,0.967903209679032,60,0.802783889946462,16
10,6,30,15,1,2,4,23,17,6,30,3,0,0.005,0.1333333333333333,10001,9680,0.967903209679032,60,0.8027838899464621,16
10,6,30,15,4,5,1,11,18,6,30,3,1,0.005,0.1333333333333333,10001,9679,0.9678032196780322,64,0.7962045312528248,16
10,6,30,15,5,4,3,18,14,6,30,1,4,0.005,0.1333333333333333,10001,9679,0.9678032196780322,44,0.7992381079333174,16
10,6,30,15,1,2,4,23,17,6,30,1,0,0.005,0.1333333333333333,10001,9679,0.9678032196780322,60,0.802842170329123,16
10,6,30,15,5,4,1,4,16,6,30,0,0,0.005,0.1333333333333333,10001,9679,0.9678032196780322,60,0.8028421703291231,16
10,6,30,9,5,4,3,4,17,6,30,2,4,0.005,0.1333333333333333,10001,9678,0.9677032296770324,22,0.5632355666526743,12
10,6,30,15,2,1,3,9,17,6,30,0,4,0.005,0.1333333333333333,10001,9678,0.9677032296770324,44,0.7992381079333173,16
10,6,30,9,5,4,3,4,17,6,30,3,4,0.005,0.1333333333333333,10001,9677,0.9676032396760323,22,0.5528850417969888,12
10,6,30,15,4,5,5,19,1,6,30,3,4,0.005,0.1333333333333333,10001,9677,0.9676032396760323,60,0.8027838899464623,16
10,6,30,15,1,2,0,9,7,6,30,2,4,0.005,0.1333333333333333,10001,9676,0.9675032496750324,44,0.7998652819218883,16
10,6,30,15,4,5,3,16,4,6,30,1,0,0.005,0.1333333333333333,10001,9676,0.9675032496750324,60,0.8027838899464619,16
10,6,30,21,1,2,3,13,26,6,30,2,0,0.005,0.1333333333333333,10001,9675,0.9674032596740326,22,0.5632355666526743,12
10,6,30,15,2,1,3,13,7,6,30,1,0,0.005,0.1333333333333333,10001,9675,0.9674032596740326,60,0.8028421703291231,16
10,6,30,15,5,4,1,4,16,6,30,4,4,0.005,0.1333333333333333,10001,9674,0.9673032696730328,60,0.8028421703291231,16
10,6,30,9,5,4,3,4,17,6,30,2,2,0.005,0.1333333333333333,10001,9673,0.9672032796720328,22,0.5128235489277847,12
10,6,30,15,2,1,3,9,17,6,30,0,5,0.005,0.1333333333333333,10001,9673,0.9672032796720328,44,0.8003014596993163,16
