t,m,l,a1,a2,a3,b1,b2,b3,emb_m,emb_l,aa,bb,p_phys,p_mask,no_test,no_success,p_log,min,adv,k
10,5,18,10,3,2,0,7,14,5,18,3,1,0.005,0.2222222222222222,10001,9811,0.981001899810019,20,0.5249813677292182,8
10,5,18,2,3,2,0,8,13,5,18,2,3,0.005,0.2222222222222222,10001,9803,0.9802019798020198,20,0.5249813677292181,8
10,5,18,2,3,2,0,5,10,5,18,2,1,0.005,0.2222222222222222,10001,9802,0.98010198980102,20,0.5249813677292181,8
10,5,18,17,1,4,0,1,14,5,18,3,1,0.005,0.2777777777777778,10001,9800,0.97990200979902,20,0.4641486001198193,8
10,5,18,2,4,1,0,13,5,5,18,2,0,0.005,0.2222222222222222,10001,9800,0.97990200979902,20,0.5249813677292181,8
10,5,18,10,4,1,0,11,4,5,18,2,2,0.005,0.2222222222222222,10001,9799,0.9798020197980202,20,0.5249813677292182,8
10,5,18,4,4,1,0,17,16,5,18,2,2,0.005,0.2222222222222222,10001,9797,0.9796020397960205,20,0.5249813677292186,8
10,5,18,16,3,2,0,5,10,5,18,3,2,0.005,0.2222222222222222,10001,9796,0.9795020497950204,20,0.5249813677292182,8
10,5,18,2,3,2,0,5,10,5,18,3,1,0.005,0.2222222222222222,10001,9795,0.9794020597940206,20,0.5249813677292181,8
10,5,18,4,4,1,0,14,7,5,18,3,3,0.005,0.1111111111111111,10001,9793,0.9792020797920208,16,0.6392260289612878,8
10,5,18,10,4,1,0,11,4,5,18,3,2,0.005,0.2222222222222222,10001,9792,0.9791020897910208,20,0.5249813677292182,8
10,5,18,10,1,4,0,7,14,5,18,3,1,0.005,0.2222222222222222,10001,9790,0.9789021097890211,20,0.5249813677292182,8
10,5,18,16,1,4,0,5,13,5,18,3,0,0.005,0.2222222222222222,10001,9790,0.9789021097890211,20,0.5249813677292182,8
10,5,18,14,2,3,0,11,7,5,18,3,0,0.005,0.1111111111111111,10001,9790,0.9789021097890211,16,0.6392260289612879,8
10,5,18,2,1,4,0,5,13,5,18,3,4,0.005,0.2222222222222222,10001,9789,0.9788021197880212,20,0.5249813677292181,8
10,5,18,10,1,4,0,7,11,5,18,3,4,0.005,0.2222222222222222,10001,9789,0.9788021197880212,20,0.5249813677292182,8
10,5,18,10,4,1,0,7,14,5,18,3,1,0.005,0.2222222222222222,10001,9788,0.9787021297870212,20,0.5249813677292182,8
10,5,18,4,3,2,0,17,16,5,18,2,2,0.005,0.2222222222222222,10001,9788,0.9787021297870212,20,0.5249813677292186,8
10,5,18,10,1,4,0,7,14,5,18,2,1,0.005,0.2222222222222222,10001,9786,0.9785021497850216,20,0.5249813677292182,8
10,5,18,8,3,2,0,10,5,5,18,2,3,0.005,0.1111111111111111,10001,9786,0.9785021497850216,16,0.6392260289612877,8
10,5,18,16,1,4,0,5,13,5,18,2,0,0.005,0.2222222222222222,10001,9784,0.9783021697830216,20,0.5249813677292182,8
10,5,18,2,1,4,0,5,13,5,18,2,4,0.005,0.2222222222222222,10001,9783,0.9782021797820218,20,0.5249813677292181,8
10,5,18,4,4,1,0,17,16,5,18,3,2,0.005,0.2222222222222222,10001,9783,0.9782021797820218,20,0.5249813677292186,8
10,5,18,10,3,2,0,7,14,5,18,2,1,0.005,0.2222222222222222,10001,9782,0.978102189781022,20,0.5249813677292182,8
10,5,18,5,4,1,0,1,17,5,18,3,4,0.005,0.2777777777777778,10001,9781,0.978002199780022,22,0.5010159438950438,8
10,5,18,13,3,2,0,5,16,5,18,2,0,0.005,0.2777777777777778,10001,9780,0.977902209779022,20,0.4736165285522318,8
10,5,18,4,3,2,0,17,16,5,18,3,2,0.005,0.2222222222222222,10001,9780,0.977902209779022,20,0.5249813677292186,8
10,5,18,8,1,4,0,13,8,5,18,2,1,0.005,0.1111111111111111,10001,9780,0.977902209779022,16,0.6392260289612877,8
10,5,18,14,2,3,0,11,7,5,18,2,0,0.005,0.1111111111111111,10001,9780,0.977902209779022,16,0.6392260289612879,8
10,5,18,5,2,3,0,17,16,5,18,2,2,0.005,0.2777777777777778,10001,9779,0.9778022197780222,22,0.5010159438950438,8
10,5,18,10,4,1,0,7,14,5,18,2,1,0.005,0.2222222222222222,10001,9779,0.9778022197780222,20,0.5249813677292182,8
10,5,18,17,3,2,0,5,4,5,18,2,2,0.005,0.2777777777777778,10001,9778,0.9777022297770224,20,0.4641486001198193,8
10,5,18,5,4,1,0,17,1,5,18,2,0,0.005,0.2777777777777778,10001,9775,0.9774022597740226,22,0.5010159438950438,8
10,5,18,2,3,2,0,8,13,5,18,3,3,0.005,0.2222222222222222,10001,9775,0.9774022597740226,20,0.5249813677292181,8
10,5,18,17,1,4,0,7,14,5,18,3,1,0.005,0.2777777777777778,10001,9774,0.9773022697730228,22,0.5010159438950437,8
10,5,18,8,1,4,0,13,8,5,18,3,1,0.005,0.1111111111111111,10001,9774,0.9773022697730228,16,0.6392260289612877,8
10,5,18,1,2,3,0,4,17,5,18,3,5,0.005,0.2777777777777778,10001,9773,0.9772022797720228,20,0.46414860011981796,8
10,5,18,11,3,2,0,11,10,5,18,2,1,0.005,0.2777777777777778,10001,9773,0.9772022797720228,20,0.5182591039477495,8
10,5,18,2,1,4,0,1,2,5,18,3,1,0.005,0.1111111111111111,10001,9772,0.9771022897710228,16,0.6392260289612879,8
