t,m,l,a1,a2,a3,b1,b2,b3,emb_m,emb_l,aa,bb,p_phys,p_mask,no_test,no_success,p_log,min,adv,k
10,3,30,5,2,0,2,3,1,3,30,3,5,0.005,0.1666666666666666,10001,9813,0.9812018798120188,24,0.5032272358217302,8
10,3,30,25,1,0,0,26,27,3,30,2,2,0.005,0.2666666666666666,10001,9760,0.975902409759024,22,0.46844426285481,8
10,3,30,25,1,0,0,26,27,3,30,3,2,0.005,0.2666666666666666,10001,9757,0.9756024397560245,22,0.47160598119822694,8
10,3,30,25,1,0,0,3,4,3,30,3,2,0.005,0.1666666666666666,10001,9754,0.9753024697530248,22,0.5058805335649025,8
10,3,30,5,2,0,2,3,1,3,30,2,4,0.005,0.2,10001,9753,0.9752024797520248,24,0.448671658254559,8
10,3,30,25,1,0,0,3,4,3,30,2,2,0.005,0.1666666666666666,10001,9753,0.9752024797520248,22,0.4996477309856852,8
10,3,30,5,0,2,2,1,18,3,30,3,2,0.005,0.3666666666666666,10001,9749,0.9748025197480252,30,0.4441115704286923,8
10,3,30,5,2,0,2,3,1,3,30,2,5,0.005,0.1666666666666666,10001,9748,0.9747025297470252,24,0.5033562165542534,8
10,3,30,25,1,0,0,3,4,3,30,2,3,0.005,0.2,10001,9741,0.974002599740026,22,0.4430701326024693,8
10,3,30,5,2,0,2,3,1,3,30,3,4,0.005,0.2,10001,9737,0.9736026397360265,24,0.4485115522717472,8
10,3,30,27,2,1,0,28,17,3,30,2,2,0.005,0.2666666666666666,10001,9734,0.9733026697330268,28,0.451530651303823,8
10,3,30,5,0,2,2,1,18,3,30,2,2,0.005,0.3666666666666666,10001,9725,0.9724027597240276,30,0.44397155663214033,8
10,3,30,25,0,1,2,19,2,3,30,3,0,0.005,0.4,10001,9721,0.972002799720028,34,0.43454161878773817,8
10,3,30,27,2,1,0,28,17,3,30,3,2,0.005,0.2666666666666666,10001,9721,0.972002799720028,28,0.451530651303823,8
10,3,30,27,2,1,0,28,17,3,30,2,3,0.005,0.2666666666666666,10001,9703,0.9702029797020298,28,0.45384962489147385,8
10,3,30,12,1,2,0,2,25,3,30,3,2,0.005,0.2,10001,9701,0.97000299970003,28,0.4969266047314461,8
10,3,30,25,1,0,0,3,4,3,30,3,3,0.005,0.2,10001,9700,0.96990300969903,22,0.4491897296659887,8
10,3,30,27,2,1,0,28,17,3,30,3,3,0.005,0.2666666666666666,10001,9700,0.96990300969903,28,0.45384962489147385,8
10,3,30,5,2,0,1,29,7,3,30,3,1,0.005,0.2666666666666666,10001,9700,0.96990300969903,34,0.4570089567496545,8
10,3,30,12,1,2,0,2,25,3,30,2,2,0.005,0.2,10001,9699,0.9698030196980302,28,0.4969266047314461,8
10,3,30,27,2,1,0,14,7,3,30,2,3,0.005,0.3,10001,9695,0.9694030596940306,28,0.4827673460294655,8
10,3,30,25,0,1,2,19,2,3,30,2,0,0.005,0.4,10001,9689,0.9688031196880312,34,0.43609265102804945,8
10,3,30,27,2,1,0,14,7,3,30,3,3,0.005,0.3,10001,9680,0.967903209679032,28,0.4827673460294655,8
10,3,30,5,2,0,2,2,19,3,30,3,4,0.005,0.2666666666666666,10001,9677,0.9676032396760323,34,0.4570937823755379,8
10,3,30,12,1,2,0,2,25,3,30,3,3,0.005,0.2333333333333333,10001,9672,0.9671032896710328,28,0.44595150512368936,8
10,3,30,20,1,0,1,23,16,3,30,3,1,0.005,0.3333333333333333,10001,9668,0.9667033296670332,30,0.47648090634884793,8
10,3,30,5,2,0,1,29,7,3,30,2,0,0.005,0.2666666666666666,10001,9667,0.9666033396660334,34,0.4548132944922387,8
10,3,30,5,2,0,2,2,19,3,30,2,4,0.005,0.2666666666666666,10001,9663,0.9662033796620338,34,0.45700895674965425,8
10,3,30,20,1,0,1,23,16,3,30,2,1,0.005,0.3333333333333333,10001,9662,0.966103389661034,30,0.47909997821239453,8
10,3,30,5,2,0,2,2,19,3,30,2,5,0.005,0.2666666666666666,10001,9660,0.965903409659034,34,0.4546873340103005,8
